model,direction,mult,n,abstain,degenerate,judges_agree,abstain_of_coherent,overlap
AltPO,content,-4,50,0.04,0.46,0.94,0.07407407407407407,0.16252683926617537
AltPO,content,4,50,0.0,0.9,1.0,0.0,0.07113457348751466
AltPO,epistemic,-4,50,0.0,0.86,1.0,0.0,0.33732907304335874
AltPO,epistemic,-2,50,0.0,0.06,0.98,0.0,0.3210658251990345
AltPO,epistemic,0,50,0.0,0.0,0.96,0.0,0.2947259879468084
AltPO,epistemic,2,50,0.32,0.0,0.46,0.32,0.16228314792649157
AltPO,epistemic,4,50,0.5,0.2,0.48,0.625,0.04404209307992203
IdkDPO,content,-4,50,0.38,0.36,0.72,0.59375,0.030571011411762185
IdkDPO,content,4,50,0.24,0.56,0.86,0.5454545454545454,0.014222769964396758
IdkDPO,epistemic,-4,50,0.02,0.92,0.96,0.25,0.01
IdkDPO,epistemic,-2,50,0.18,0.08,0.78,0.1956521739130435,0.15131254387404275
IdkDPO,epistemic,0,50,0.48,0.02,0.68,0.4897959183673469,0.1027959388445425
IdkDPO,epistemic,2,50,0.8,0.0,0.64,0.8,0.055913547351627846
IdkDPO,epistemic,4,50,0.68,0.0,0.5,0.68,0.0035357142857142853
RMU,content,-4,50,0.06,0.36,0.88,0.09375,0.005208333333333333
RMU,content,4,50,0.0,0.92,1.0,0.0,0.023809523809523808
RMU,epistemic,-4,50,0.0,0.9,1.0,0.0,0.009523809523809523
RMU,epistemic,-2,50,0.02,0.82,0.94,0.1111111111111111,0.0
RMU,epistemic,0,50,0.06,0.74,0.94,0.23076923076923078,0.005128205128205128
RMU,epistemic,2,50,0.12,0.56,0.86,0.2727272727272727,0.0023923444976076554
RMU,epistemic,4,50,0.08,0.78,0.94,0.36363636363636365,0.0
base,content,-4,50,0.02,0.6,0.96,0.05,0.1932458528958142
base,content,4,50,0.0,0.86,0.98,0.0,0.14581376956376957
base,epistemic,-4,50,0.0,0.88,0.98,0.0,0.4094837261503928
base,epistemic,-2,50,0.0,0.02,1.0,0.0,0.5246303827511574
base,epistemic,0,50,0.0,0.0,1.0,0.0,0.7563179993180768
base,epistemic,2,50,0.66,0.0,0.44,0.66,0.21303726537766784
base,epistemic,4,50,0.62,0.14,0.62,0.7209302325581395,0.009660185795436713
