model,layer,direction,mult,c,gold_lp,gold_lp_sem
NPO,8,undo,-4.0,-2.4887137413024902,-1.0621895667910577,0.022610369698391346
NPO,8,undo,-2.0,-1.2443568706512451,-0.7359436962008477,0.018293922113612755
NPO,8,undo,-1.0,-0.6221784353256226,-0.6428959679603576,0.01740960188595286
NPO,8,undo,-0.5,-0.3110892176628113,-0.6124502698332072,0.017140541456828477
NPO,8,undo,0.5,0.3110892176628113,-0.5837649182230235,0.01661196585915849
NPO,8,undo,1.0,0.6221784353256226,-0.5873626708984375,0.016279168489193842
NPO,8,undo,2.0,1.2443568706512451,-0.6473848435282707,0.016001092351331642
NPO,8,undo,4.0,2.4887137413024902,-1.0874409405887127,0.026969346831027155
NPO,8,epistemic,-4.0,-7.138071254331625,-3.2570977875590326,0.06755103855824089
NPO,8,epistemic,-2.0,-3.5690356271658126,-1.3298043049871922,0.0288776507333462
NPO,8,epistemic,-1.0,-1.7845178135829063,-0.7830878131091594,0.017222127900566278
NPO,8,epistemic,-0.5,-0.8922589067914531,-0.640554378926754,0.016872497714982837
NPO,8,epistemic,0.0,0.0,-0.5925776478648186,0.016897058234253918
NPO,8,epistemic,0.5,0.8922589067914531,-0.64383574873209,0.01678909004571114
NPO,8,epistemic,1.0,1.7845178135829063,-0.881331682652235,0.018829835249163214
NPO,8,epistemic,2.0,3.5690356271658126,-2.225685276091099,0.04133517137110434
NPO,8,epistemic,4.0,7.138071254331625,-7.01774662733078,0.07143144824300678
NPO,8,content,-4.0,-1.591508388519287,-0.7707475751638413,0.01743760355783959
NPO,8,content,-2.0,-0.7957541942596436,-0.6395996445417405,0.017062813317843994
NPO,8,content,-1.0,-0.3978770971298218,-0.607435809224844,0.01701346733229123
NPO,8,content,-0.5,-0.1989385485649109,-0.597924085855484,0.016957236890908552
NPO,8,content,0.5,0.1989385485649109,-0.5913100638240576,0.016820579558102646
NPO,8,content,1.0,0.3978770971298218,-0.5940365721285343,0.016741278653195985
NPO,8,content,2.0,0.7957541942596436,-0.6125067313015461,0.0165980147348963
NPO,8,content,4.0,1.591508388519287,-0.710011880993843,0.016838726437785716
NPO,8,random,-4.0,-2.4887137413024902,-0.8284699134528637,0.016778092697222826
NPO,8,random,-2.0,-1.2443568706512451,-0.642697446346283,0.01613393906944761
NPO,8,random,-1.0,-0.6221784353256226,-0.6044307571649551,0.01651858182851162
NPO,8,random,-0.5,-0.3110892176628113,-0.5955354794859886,0.016707524884367643
NPO,8,random,0.5,0.3110892176628113,-0.5953399786353111,0.01706409278881
NPO,8,random,1.0,0.6221784353256226,-0.6040940718352794,0.0172293682635976
NPO,8,random,2.0,1.2443568706512451,-0.6431098985671997,0.017552942831667712
NPO,8,random,4.0,2.4887137413024902,-0.850739928483963,0.019020172967519202
NPO,12,undo,-4.0,-3.9223060607910156,-0.8258658844232559,0.019124422373312373
NPO,12,undo,-2.0,-1.9611530303955078,-0.6652182549983263,0.01779991412780266
NPO,12,undo,-1.0,-0.9805765151977539,-0.6181633050739765,0.01727662200573249
NPO,12,undo,-0.5,-0.49028825759887695,-0.6026389098912478,0.01705442680368959
NPO,12,undo,0.5,0.49028825759887695,-0.5883311431854963,0.016800018154233126
