method,repo,lr,epochs,published,shift_norm,raw_norm,rank1,prefers_truth,truth_ratio_median,n
IdkDPO,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkDPO_lr5e-05_beta0.05_alpha5_epoch10,5e-05,10,True,3.2482430934906006,5.564818382263184,0.28,0.52,0.9624121093955649,200
IdkDPO,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkDPO_lr1e-05_beta0.05_alpha1_epoch10,1e-05,10,False,3.677915334701538,8.673964500427246,0.59,0.815,0.7262150643691642,200
IdkDPO,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkDPO_lr1e-05_beta0.05_alpha1_epoch5,1e-05,5,False,2.4302847385406494,8.599385261535645,0.61,0.83,0.7038581166249525,200
IdkDPO,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkDPO_lr2e-05_beta0.05_alpha1_epoch10,2e-05,10,False,7.088268756866455,9.197121620178223,0.39,0.63,0.8268641820504564,200
IdkNLL,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkNLL_lr4e-05_alpha5_epoch10,4e-05,10,True,1.2100296020507812,4.011053562164307,0.695,0.875,0.5348196965371315,200
IdkNLL,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkNLL_lr1e-05_alpha10_epoch10,1e-05,10,False,0.46585914492607117,2.053572416305542,0.73,0.875,0.5018837934356349,200
IdkNLL,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkNLL_lr1e-05_alpha10_epoch5,1e-05,5,False,0.45391038060188293,2.081705093383789,0.725,0.88,0.49859117331348796,200
IdkNLL,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_IdkNLL_lr2e-05_alpha10_epoch10,2e-05,10,False,0.7161421775817871,2.4025003910064697,0.73,0.875,0.49625034538042234,200
RMU,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_RMU_lr5e-05_layer10_scoeff10_epoch10,5e-05,10,True,11.03173542022705,12.193483352661133,0.195,0.42,1.048083224792375,200
RMU,open-unlearning/unlearn_tofu_Llama-3.2-1B-Instruct_forget10_RMU_lr1e-05_layer10_scoeff100_epoch10,1e-05,10,False,0.22583582997322083,1.648581862449646,0.735,0.895,0.49929077560988644,200
