layer,cos_D_dpo_content,cos_D_dpo_D_nll,cos_D_dpo_W_dpo,cos_D_dpo_W_nll,cos_D_nll_content,cos_D_nll_W_dpo,cos_D_nll_W_nll,cos_W_dpo_content,cos_W_dpo_W_nll,cos_W_nll_content,D_dpo_within_auroc,W_dpo_within_auroc,D_nll_within_auroc,W_nll_within_auroc
0,0.8622752446405136,0.8964842024600556,-0.1850965397001174,-0.5188394116770989,0.9849035696904825,-0.5658495354465409,-0.7313788348406058,-0.6062664830792017,0.768732127379256,-0.7898597513293382,0.479631514392338,0.6036431013335422,0.26582862414946373,0.7824933687002653
1,0.7636812709585526,0.8386654506079027,0.21784591716196888,-0.03375030987074858,0.9649577286398168,-0.24849795046477977,-0.2947220618530856,-0.3380123185480681,0.6378846929822082,-0.4361420401749623,0.5303374305174979,0.6419008846786189,0.3966093876138853,0.8038288548033675
2,0.6510468482740288,0.7727727442972299,0.33167036542857276,0.08290777776789357,0.9170175994511882,-0.09926202242891193,-0.11039413863832087,-0.18988608771161394,0.5817598580755019,-0.26887197112143996,0.5536939899266682,0.6610819697800047,0.4690347134125245,0.794833352554492
3,0.22790534389747202,0.43023211187660326,0.6849029373894652,0.002315918495458244,0.8398022255268986,0.07057116960752777,0.1288946872846065,-0.05159550567766171,0.1153352440261158,-0.008322441176060444,0.6215976408570161,0.7395025966230852,0.6037365932418406,0.7748817898742937
4,0.2243578896390797,0.35052414810595267,0.5911727535606517,0.03194584904794682,0.8655587180629252,0.0547137809864093,0.2964768512765183,-0.04713979191305466,0.054195595455791105,0.14612725930701748,0.5991805631670972,0.7930791513348471,0.6823895744435475,0.7174489678237804
5,0.34973385557494074,0.47192649757421073,0.5399939600891854,-0.025474554701403966,0.8449685538654482,0.11416429422699298,0.28656483838282004,0.041394008629127885,-0.006687158528431356,0.15647972058483345,0.6029906834729508,0.7961846603512618,0.6798523815015569,0.7281743743512858
6,0.3316642918323495,0.49811659370856576,0.41908830279765463,-0.02367570855955931,0.8124219712723963,-0.023296066020645913,0.27715797786760626,-0.06461768951798201,0.0030881925396262656,0.1437278486300746,0.5966752785824265,0.7975938829301392,0.6664744550801522,0.7468573405604889
7,0.2784674157988176,0.5404574943410071,0.40857446222532284,0.033034992085073614,0.7446979609565124,-0.033204230389197516,0.3056032499133399,-0.10876139497342273,0.02480659191623253,0.18590411331830456,0.606748610349957,0.7904694798924815,0.6816976127320955,0.7616191904047975
8,0.21473925925226175,0.5101447169375344,0.57048944905617,0.02450722065579112,0.7480772397028081,0.06247076680585098,0.3033813653704063,-0.12197605411379922,0.051491385509479085,0.1920420779007621,0.6428925598267179,0.7978809467887992,0.670626225348864,0.7898742936224196
9,0.19126686953898903,0.4959724875228057,0.629094891534447,0.008401034169887911,0.752606343687214,0.19615578393111388,0.28486659045630613,-0.012090019929081198,0.0845443976753477,0.2372613491002438,0.6661447323781936,0.7891385474568753,0.6755852842809366,0.7955253142659439
10,0.15629801065528034,0.4471841146230197,0.5700384340869331,-0.02826974836863776,0.7059397298006191,0.15039973594387934,0.20845466515926597,-0.07463061936832657,0.1576652581939172,0.17200803021401417,0.6713901719773481,0.8104856598554241,0.6686656671664168,0.8222811671087532
11,0.2684005593142528,0.50124416003136,0.627908369158301,0.0012341784262732847,0.7390220170483198,0.2658932278924286,0.2207412203121385,0.07748852187750915,0.11768573755730442,0.16399103984445462,0.72389676139774,0.8297711318145046,0.6618613770038059,0.8477684234805675
12,0.27445355117167713,0.4949039810129028,0.5826400987087207,-0.007242637793516785,0.7071752328385552,0.22404610058411858,0.15021773516414433,0.05567464227530587,0.1940026645667134,0.11848412676968842,0.7200083509486157,0.865941178005689,0.6354515050167224,0.8252796678583786
13,0.25260072890158336,0.41412003078950566,0.5690554232192284,-0.035612004689773186,0.6865865811631064,0.19451504850225376,0.18704873429070107,0.04922644586443242,0.1407798935774504,0.09020385326673218,0.7075863148829561,0.8658889845768418,0.650559335716757,0.8460385192019374
14,0.18099175658846434,0.43055446836671596,0.5721541151549626,0.006534672108769973,0.6192323099089672,0.19026635055564062,0.23856003258603847,0.023945560334211916,0.09812168500975253,0.09977945198801863,0.7362405073201284,0.867611367728803,0.7207934494291316,0.8727943720447469
15,0.18055016326787088,0.2934230726524256,0.6154428615062553,0.02434402882174031,0.6107287983085903,0.12833887683571651,0.30094420082325724,0.05321091266936655,0.07781084157374062,0.10252361112135708,0.7884600328818602,0.8797202432213784,0.7152577557375159,0.87683081536155
